slices,colour,cluster,r,value
T6M_29_1_slice5.pkl,val_green,0,0,32
T6M_29_1_slice5.pkl,val_green,0,1,40.84
T6M_29_1_slice5.pkl,val_green,0,2,44.46
T6M_29_1_slice5.pkl,val_green,0,3,53.56
T6M_29_1_slice5.pkl,val_green,0,4,47.7
T6M_29_1_slice5.pkl,val_green,0,5,49.3
T6M_29_1_slice5.pkl,val_green,0,6,48.82
T6M_29_1_slice5.pkl,val_green,0,7,47.2
T6M_29_1_slice5.pkl,val_green,0,8,43.65
T6M_29_1_slice5.pkl,val_green,0,9,43.74
T6M_29_1_slice5.pkl,val_green,0,10,40.21
T6M_29_1_slice5.pkl,val_green,0,11,35.15
T6M_29_1_slice5.pkl,val_green,0,12,26.71
T6M_29_1_slice5.pkl,val_green,0,13,24.6
T6M_29_1_slice5.pkl,val_green,0,14,19.11
T6M_29_1_slice5.pkl,val_green,0,15,17.19
T6M_29_1_slice5.pkl,val_green,0,16,12.46
T6M_29_1_slice5.pkl,val_green,0,17,12.42
T6M_29_1_slice5.pkl,val_green,0,18,12.19
T6M_29_1_slice5.pkl,val_green,0,19,12.23
T6M_29_1_slice5.pkl,val_green,0,20,12.17
T6M_29_1_slice5.pkl,val_green,0,21,13.59
T6M_29_1_slice5.pkl,val_green,0,22,12.22
T6M_29_1_slice5.pkl,val_green,0,23,12.45
T6M_29_1_slice5.pkl,val_green,0,24,11.53
T6M_29_1_slice5.pkl,val_green,0,25,12.15
T6M_29_1_slice5.pkl,val_green,0,26,10.98
T6M_29_1_slice5.pkl,val_green,0,27,9.85
T6M_29_1_slice5.pkl,val_green,0,28,10.33
T6M_29_1_slice5.pkl,val_green,0,29,11.03
T6M_29_1_slice5.pkl,val_green,0,30,10.07
T6M_29_1_slice5.pkl,val_green,0,31,10.49
T6M_29_1_slice5.pkl,val_green,0,32,12.07
T6M_29_1_slice5.pkl,val_green,0,33,12.28
T6M_29_1_slice5.pkl,val_green,0,34,14.64
T6M_29_1_slice5.pkl,val_green,0,35,17.26
T6M_29_1_slice5.pkl,val_green,0,36,20.55
T6M_29_1_slice5.pkl,val_green,0,37,24.38
T6M_29_1_slice5.pkl,val_green,0,38,26.99
T6M_29_1_slice5.pkl,val_green,0,39,27.84
T6M_29_1_slice5.pkl,val_green,0,40,30.75
T6M_29_1_slice5.pkl,val_green,0,41,33.76
T6M_29_1_slice5.pkl,val_green,0,42,34.11
T6M_29_1_slice5.pkl,val_green,0,43,35.37
T6M_29_1_slice5.pkl,val_green,0,44,36.52
T6M_29_1_slice5.pkl,val_green,0,45,38.05
T6M_29_1_slice5.pkl,val_green,0,46,37.49
T6M_29_1_slice5.pkl,val_green,0,47,38.34
T6M_29_1_slice5.pkl,val_green,0,48,39.39
T6M_29_1_slice5.pkl,val_green,0,49,39.09
T6M_29_1_slice5.pkl,val_green,0,50,36.11
T6M_29_1_slice5.pkl,val_green,0,51,37.17
T6M_29_1_slice5.pkl,val_green,0,52,35.91
T6M_29_1_slice5.pkl,val_green,0,53,38.51
T6M_29_1_slice5.pkl,val_green,0,54,38
T6M_29_1_slice5.pkl,val_green,0,55,35.59
T6M_29_1_slice5.pkl,val_green,0,56,37.37
T6M_29_1_slice5.pkl,val_green,0,57,38.51
T6M_29_1_slice5.pkl,val_green,0,58,40.97
T6M_29_1_slice5.pkl,val_green,0,59,42
T6M_29_1_slice5.pkl,val_green,0,60,44.03
T6M_29_1_slice5.pkl,val_green,0,61,44.69
T6M_29_1_slice5.pkl,val_green,0,62,45.26
T6M_29_1_slice5.pkl,val_green,0,63,44.25
T6M_29_1_slice5.pkl,val_green,0,64,44.2
T6M_29_1_slice5.pkl,val_green,0,65,42.79
T6M_29_1_slice5.pkl,val_green,0,66,37.82
T6M_29_1_slice5.pkl,val_green,0,67,38.87
T6M_29_1_slice5.pkl,val_green,0,68,39.53
T6M_29_1_slice5.pkl,val_green,0,69,36.42
T6M_29_1_slice5.pkl,val_green,0,70,36.6
T6M_29_1_slice5.pkl,val_green,0,71,35.19
T6M_29_1_slice5.pkl,val_green,0,72,38.22
T6M_29_1_slice5.pkl,val_green,0,73,41.66
T6M_29_1_slice5.pkl,val_green,0,74,43.23
T6M_29_1_slice5.pkl,val_green,0,75,46.98
T6M_29_1_slice5.pkl,val_green,0,76,50.77
T6M_29_1_slice5.pkl,val_green,0,77,52.84
T6M_29_1_slice5.pkl,val_green,0,78,54.41
T6M_29_1_slice5.pkl,val_green,0,79,57.31
T6M_29_1_slice5.pkl,val_green,0,80,58.83
T6M_29_1_slice5.pkl,val_green,0,81,58.32
T6M_29_1_slice5.pkl,val_green,0,82,62.39
T6M_29_1_slice5.pkl,val_green,0,83,63.39
T6M_29_1_slice5.pkl,val_green,0,84,62.39
T6M_29_1_slice5.pkl,val_green,0,85,62.36
T6M_29_1_slice5.pkl,val_green,0,86,61.2
T6M_29_1_slice5.pkl,val_green,0,87,62.64
T6M_29_1_slice5.pkl,val_green,0,88,65.67
T6M_29_1_slice5.pkl,val_green,0,89,63.88
T6M_29_1_slice5.pkl,val_green,0,90,63.85
T6M_29_1_slice5.pkl,val_green,0,91,64.38
T6M_29_1_slice5.pkl,val_green,0,92,63.09
T6M_29_1_slice5.pkl,val_green,0,93,60.46
T6M_29_1_slice5.pkl,val_green,0,94,57.13
T6M_29_1_slice5.pkl,val_green,0,95,53.78
T6M_29_1_slice5.pkl,val_green,0,96,52.48
T6M_29_1_slice5.pkl,val_green,0,97,52.01
T6M_29_1_slice5.pkl,val_green,0,98,54.95
T6M_29_1_slice5.pkl,val_green,0,99,55.42
T6M_29_1_slice5.pkl,val_green,0,100,57.01
T6M_29_1_slice5.pkl,val_green,0,101,58.14
T6M_29_1_slice5.pkl,val_green,0,102,56.2
T6M_29_1_slice5.pkl,val_green,0,103,52.78
T6M_29_1_slice5.pkl,val_green,0,104,51.05
T6M_29_1_slice5.pkl,val_green,0,105,47.24
T6M_29_1_slice5.pkl,val_green,0,106,41.35
T6M_29_1_slice5.pkl,val_green,0,107,39.16
T6M_29_1_slice5.pkl,val_green,0,108,35.67
T6M_29_1_slice5.pkl,val_green,0,109,34.32
T6M_29_1_slice5.pkl,val_green,0,110,34.32
T6M_29_1_slice5.pkl,val_green,0,111,34.05
T6M_29_1_slice5.pkl,val_green,0,112,33.21
T6M_29_1_slice5.pkl,val_green,0,113,31.02
T6M_29_1_slice5.pkl,val_green,0,114,31
T6M_29_1_slice5.pkl,val_green,0,115,29.36
T6M_29_1_slice5.pkl,val_green,0,116,27.6
T6M_29_1_slice5.pkl,val_green,0,117,27.06
T6M_29_1_slice5.pkl,val_green,0,118,25.86
T6M_29_1_slice5.pkl,val_green,0,119,24.82
T6M_29_1_slice5.pkl,val_green,0,120,26.24
T6M_29_1_slice5.pkl,val_green,0,121,26.55
T6M_29_1_slice5.pkl,val_green,0,122,27.14
T6M_29_1_slice5.pkl,val_green,0,123,28.62
T6M_29_1_slice5.pkl,val_green,0,124,30
T6M_29_1_slice5.pkl,val_green,0,125,31.91
T6M_29_1_slice5.pkl,val_green,0,126,33.99
T6M_29_1_slice5.pkl,val_green,0,127,36.43
T6M_29_1_slice5.pkl,val_green,0,128,36.72
T6M_29_1_slice5.pkl,val_green,0,129,38.92
T6M_29_1_slice5.pkl,val_green,0,130,38.55
T6M_29_1_slice5.pkl,val_green,0,131,39.88
T6M_29_1_slice5.pkl,val_green,0,132,39.21
T6M_29_1_slice5.pkl,val_green,0,133,40.25
T6M_29_1_slice5.pkl,val_green,0,134,41.57
T6M_29_1_slice5.pkl,val_green,0,135,41.1
T6M_29_1_slice5.pkl,val_green,0,136,39.68
T6M_29_1_slice5.pkl,val_green,0,137,37.69
T6M_29_1_slice5.pkl,val_green,0,138,36.78
T6M_29_1_slice5.pkl,val_green,0,139,37.05
T6M_29_1_slice5.pkl,val_green,0,140,36.02
T6M_29_1_slice5.pkl,val_green,0,141,34.27
T6M_29_1_slice5.pkl,val_green,0,142,34.94
T6M_29_1_slice5.pkl,val_green,0,143,33.63
T6M_29_1_slice5.pkl,val_green,0,144,33.15
T6M_29_1_slice5.pkl,val_green,0,145,31.69
T6M_29_1_slice5.pkl,val_green,0,146,31
T6M_29_1_slice5.pkl,val_green,0,147,30.22
T6M_29_1_slice5.pkl,val_green,0,148,30.31
T6M_29_1_slice5.pkl,val_green,0,149,29.55
T6M_29_1_slice5.pkl,val_green,0,150,28.1
T6M_29_1_slice5.pkl,val_green,0,151,27.95
T6M_29_1_slice5.pkl,val_green,0,152,27.53
T6M_29_1_slice5.pkl,val_green,0,153,27.58
T6M_29_1_slice5.pkl,val_green,0,154,28.44
T6M_29_1_slice5.pkl,val_green,0,155,28.76
T6M_29_1_slice5.pkl,val_green,0,156,29.71
T6M_29_1_slice5.pkl,val_green,0,157,30.29
T6M_29_1_slice5.pkl,val_green,0,158,31.02
T6M_29_1_slice5.pkl,val_green,0,159,32.39
T6M_29_1_slice5.pkl,val_green,0,160,33.27
T6M_29_1_slice5.pkl,val_green,0,161,34.15
T6M_29_1_slice5.pkl,val_green,0,162,35.66
T6M_29_1_slice5.pkl,val_green,0,163,36.09
T6M_29_1_slice5.pkl,val_green,0,164,37.1
T6M_29_1_slice5.pkl,val_green,0,165,36.26
T6M_29_1_slice5.pkl,val_green,0,166,36.97
T6M_29_1_slice5.pkl,val_green,0,167,36.01
T6M_29_1_slice5.pkl,val_green,0,168,36.61
T6M_29_1_slice5.pkl,val_green,0,169,36.01
T6M_29_1_slice5.pkl,val_green,0,170,35.6
T6M_29_1_slice5.pkl,val_green,0,171,36.39
T6M_29_1_slice5.pkl,val_green,0,172,38.25
T6M_29_1_slice5.pkl,val_green,0,173,38.13
T6M_29_1_slice5.pkl,val_green,0,174,38.04
T6M_29_1_slice5.pkl,val_green,0,175,38.42
T6M_29_1_slice5.pkl,val_green,0,176,40.39
T6M_29_1_slice5.pkl,val_green,0,177,41.32
T6M_29_1_slice5.pkl,val_green,0,178,41.07
T6M_29_1_slice5.pkl,val_green,0,179,42.59
T6M_29_1_slice5.pkl,val_green,0,180,40.78
T6M_29_1_slice5.pkl,val_green,0,181,39.49
T6M_29_1_slice5.pkl,val_green,0,182,36.91
T6M_29_1_slice5.pkl,val_green,0,183,33.43
T6M_29_1_slice5.pkl,val_green,0,184,30.08
T6M_29_1_slice5.pkl,val_green,0,185,27.6
T6M_29_1_slice5.pkl,val_green,0,186,25.2
T6M_29_1_slice5.pkl,val_green,0,187,23.85
T6M_29_1_slice5.pkl,val_green,0,188,24.04
T6M_29_1_slice5.pkl,val_green,0,189,23.34
T6M_29_1_slice5.pkl,val_green,0,190,24.93
T6M_29_1_slice5.pkl,val_green,0,191,24.91
T6M_29_1_slice5.pkl,val_green,0,192,26.27
T6M_29_1_slice5.pkl,val_green,0,193,26.69
T6M_29_1_slice5.pkl,val_green,0,194,27.26
T6M_29_1_slice5.pkl,val_green,0,195,27.45
T6M_29_1_slice5.pkl,val_green,0,196,27.11
T6M_29_1_slice5.pkl,val_green,0,197,26.75
T6M_29_1_slice5.pkl,val_green,0,198,26.45
T6M_29_1_slice5.pkl,val_green,0,199,27.78
T6M_29_1_slice5.pkl,val_green,0,200,27.07
T6M_29_1_slice5.pkl,val_green,0,201,28.21
T6M_29_1_slice5.pkl,val_green,0,202,26.31
T6M_29_1_slice5.pkl,val_green,0,203,26.47
T6M_29_1_slice5.pkl,val_green,0,204,26.84
T6M_29_1_slice5.pkl,val_green,0,205,27.38
T6M_29_1_slice5.pkl,val_green,0,206,27.03
T6M_29_1_slice5.pkl,val_green,0,207,25.92
T6M_29_1_slice5.pkl,val_green,0,208,25.75
T6M_29_1_slice5.pkl,val_green,0,209,25.23
T6M_29_1_slice5.pkl,val_green,0,210,23.73
T6M_29_1_slice5.pkl,val_green,0,211,22.63
T6M_29_1_slice5.pkl,val_green,0,212,21.52
T6M_29_1_slice5.pkl,val_green,0,213,20.55
T6M_29_1_slice5.pkl,val_green,0,214,20.11
T6M_29_1_slice5.pkl,val_green,0,215,19.33
T6M_29_1_slice5.pkl,val_green,0,216,18.72
T6M_29_1_slice5.pkl,val_green,0,217,18.75
T6M_29_1_slice5.pkl,val_green,0,218,17.79
T6M_29_1_slice5.pkl,val_green,0,219,17.65
T6M_29_1_slice5.pkl,val_green,0,220,17.58
T6M_29_1_slice5.pkl,val_green,0,221,17.27
T6M_29_1_slice5.pkl,val_green,0,222,17.17
T6M_29_1_slice5.pkl,val_green,0,223,17.28
T6M_29_1_slice5.pkl,val_green,0,224,16.34
T6M_29_1_slice5.pkl,val_green,0,225,16.11
T6M_29_1_slice5.pkl,val_green,0,226,15.57
T6M_29_1_slice5.pkl,val_green,0,227,15.91
T6M_29_1_slice5.pkl,val_green,0,228,16.03
T6M_29_1_slice5.pkl,val_green,0,229,16.59
T6M_29_1_slice5.pkl,val_green,0,230,17.27
T6M_29_1_slice5.pkl,val_green,0,231,19.07
T6M_29_1_slice5.pkl,val_green,0,232,20.13
T6M_29_1_slice5.pkl,val_green,0,233,22.14
T6M_29_1_slice5.pkl,val_green,0,234,21.86
T6M_29_1_slice5.pkl,val_green,0,235,22.75
T6M_29_1_slice5.pkl,val_green,0,236,23.31
T6M_29_1_slice5.pkl,val_green,0,237,23.03
T6M_29_1_slice5.pkl,val_green,0,238,21.87
T6M_29_1_slice5.pkl,val_green,0,239,20.44
T6M_29_1_slice5.pkl,val_green,0,240,20.33
T6M_29_1_slice5.pkl,val_green,0,241,18.81
T6M_29_1_slice5.pkl,val_green,0,242,18.76
T6M_29_1_slice5.pkl,val_green,0,243,17.57
T3M_7_1_slice9.pkl,val_green,0,0,8
T3M_7_1_slice9.pkl,val_green,0,1,6.86
T3M_7_1_slice9.pkl,val_green,0,2,4.92
T3M_7_1_slice9.pkl,val_green,0,3,5.54
T3M_7_1_slice9.pkl,val_green,0,4,5.28
T3M_7_1_slice9.pkl,val_green,0,5,5.48
T3M_7_1_slice9.pkl,val_green,0,6,5.67
T3M_7_1_slice9.pkl,val_green,0,7,6.8
T3M_7_1_slice9.pkl,val_green,0,8,6.13
T3M_7_1_slice9.pkl,val_green,0,9,6.38
T3M_7_1_slice9.pkl,val_green,0,10,6.13
T3M_7_1_slice9.pkl,val_green,0,11,5.18
T3M_7_1_slice9.pkl,val_green,0,12,6.9
T3M_7_1_slice9.pkl,val_green,0,13,7.19
T3M_7_1_slice9.pkl,val_green,0,14,7.53
T3M_7_1_slice9.pkl,val_green,0,15,8.49
T3M_7_1_slice9.pkl,val_green,0,16,10.16
T3M_7_1_slice9.pkl,val_green,0,17,12.4
T3M_7_1_slice9.pkl,val_green,0,18,13.88
T3M_7_1_slice9.pkl,val_green,0,19,15.69
T3M_7_1_slice9.pkl,val_green,0,20,20.41
T3M_7_1_slice9.pkl,val_green,0,21,21.22
T3M_7_1_slice9.pkl,val_green,0,22,23.51
T3M_7_1_slice9.pkl,val_green,0,23,27.75
T3M_7_1_slice9.pkl,val_green,0,24,32.12
T3M_7_1_slice9.pkl,val_green,0,25,37.51
T3M_7_1_slice9.pkl,val_green,0,26,43.67
T3M_7_1_slice9.pkl,val_green,0,27,47.57
T3M_7_1_slice9.pkl,val_green,0,28,53.35
T3M_7_1_slice9.pkl,val_green,0,29,55.43
