,slice,colour,cluster,r,value,Sample
0,T6M_29_1_slice5.pkl,val_green,0,0.0,32.0,T6M_29_1
1,T6M_29_1_slice5.pkl,val_green,0,1.0,40.84,T6M_29_1
2,T6M_29_1_slice5.pkl,val_green,0,2.0,44.46,T6M_29_1
3,T6M_29_1_slice5.pkl,val_green,0,3.0,53.56,T6M_29_1
4,T6M_29_1_slice5.pkl,val_green,0,4.0,47.7,T6M_29_1
5,T6M_29_1_slice5.pkl,val_green,0,5.0,49.3,T6M_29_1
6,T6M_29_1_slice5.pkl,val_green,0,6.0,48.82,T6M_29_1
7,T6M_29_1_slice5.pkl,val_green,0,7.0,47.2,T6M_29_1
8,T6M_29_1_slice5.pkl,val_green,0,8.0,43.65,T6M_29_1
9,T6M_29_1_slice5.pkl,val_green,0,9.0,43.74,T6M_29_1
10,T6M_29_1_slice5.pkl,val_green,0,10.0,40.21,T6M_29_1
11,T6M_29_1_slice5.pkl,val_green,0,11.0,35.15,T6M_29_1
12,T6M_29_1_slice5.pkl,val_green,0,12.0,26.71,T6M_29_1
13,T6M_29_1_slice5.pkl,val_green,0,13.0,24.6,T6M_29_1
14,T6M_29_1_slice5.pkl,val_green,0,14.0,19.11,T6M_29_1
15,T6M_29_1_slice5.pkl,val_green,0,15.0,17.19,T6M_29_1
16,T6M_29_1_slice5.pkl,val_green,0,16.0,12.46,T6M_29_1
17,T6M_29_1_slice5.pkl,val_green,0,17.0,12.42,T6M_29_1
18,T6M_29_1_slice5.pkl,val_green,0,18.0,12.19,T6M_29_1
19,T6M_29_1_slice5.pkl,val_green,0,19.0,12.23,T6M_29_1
20,T6M_29_1_slice5.pkl,val_green,0,20.0,12.17,T6M_29_1
21,T6M_29_1_slice5.pkl,val_green,0,21.0,13.59,T6M_29_1
22,T6M_29_1_slice5.pkl,val_green,0,22.0,12.22,T6M_29_1
23,T6M_29_1_slice5.pkl,val_green,0,23.0,12.45,T6M_29_1
24,T6M_29_1_slice5.pkl,val_green,0,24.0,11.53,T6M_29_1
25,T6M_29_1_slice5.pkl,val_green,0,25.0,12.15,T6M_29_1
26,T6M_29_1_slice5.pkl,val_green,0,26.0,10.98,T6M_29_1
27,T6M_29_1_slice5.pkl,val_green,0,27.0,9.85,T6M_29_1
28,T6M_29_1_slice5.pkl,val_green,0,28.0,10.33,T6M_29_1
29,T6M_29_1_slice5.pkl,val_green,0,29.0,11.03,T6M_29_1
30,T6M_29_1_slice5.pkl,val_green,0,30.0,10.07,T6M_29_1
31,T6M_29_1_slice5.pkl,val_green,0,31.0,10.49,T6M_29_1
32,T6M_29_1_slice5.pkl,val_green,0,32.0,12.07,T6M_29_1
33,T6M_29_1_slice5.pkl,val_green,0,33.0,12.28,T6M_29_1
34,T6M_29_1_slice5.pkl,val_green,0,34.0,14.64,T6M_29_1
35,T6M_29_1_slice5.pkl,val_green,0,35.0,17.26,T6M_29_1
36,T6M_29_1_slice5.pkl,val_green,0,36.0,20.55,T6M_29_1
37,T6M_29_1_slice5.pkl,val_green,0,37.0,24.38,T6M_29_1
38,T6M_29_1_slice5.pkl,val_green,0,38.0,26.99,T6M_29_1
39,T6M_29_1_slice5.pkl,val_green,0,39.0,27.84,T6M_29_1
40,T6M_29_1_slice5.pkl,val_green,0,40.0,30.75,T6M_29_1
41,T6M_29_1_slice5.pkl,val_green,0,41.0,33.76,T6M_29_1
42,T6M_29_1_slice5.pkl,val_green,0,42.0,34.11,T6M_29_1
43,T6M_29_1_slice5.pkl,val_green,0,43.0,35.37,T6M_29_1
44,T6M_29_1_slice5.pkl,val_green,0,44.0,36.52,T6M_29_1
45,T6M_29_1_slice5.pkl,val_green,0,45.0,38.05,T6M_29_1
46,T6M_29_1_slice5.pkl,val_green,0,46.0,37.49,T6M_29_1
